current_path,filename,extension,size_bytes,sha256,probable_phase,probable_concept,document_role,authority_level,exact_duplicate_group,possible_cross_format_duplicate_group,probable_canonical_file,confidence,manual_review_requirement
.gitignore,.gitignore,[none],26,06cbc9ed3b87cff938ebc17ad940c8cf13efcf2e8570025106b6a8b3d852b727,Repository-wide,Repository-wide/none,Git ignore configuration,Supporting/non-decision artifact,,,.gitignore,High,No
AGENTS.md,AGENTS.md,md,3014,7dc870163ab0eeb55112d377f5e015404ef631a55fd02332e8a692ead2b3b31e,Repository-wide,Repository-wide/none,Repository governance instructions,Governance/context (outside numbered technical precedence),,,AGENTS.md,High,No
COPY PASTE FOLDER/Claudes report on the research Phases 3a.pdf,Claudes report on the research Phases 3a.pdf,pdf,792034,7d0202fb62476a0212e594af473ad8d796eecd853e53e7f0952de90908cec611,Cross-phase/unclear,Repository-wide/none,Raw independent research,Level 10 — raw research evidence only,ED-08,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Claudes report on the research Phases 3a.pdf,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Document_4_TrustLatch_Concept_Dossier.docx,Document_4_TrustLatch_Concept_Dossier.docx,docx,39031,f9a4184850435aba3ec26e480e802d1ba39f17037f0f368520a625c6f8e84f78,Cross-phase/unclear,TrustLatch (deferred),Concept dossier,Convenience/context only; non-canonical container,ED-20,,PHASE 1/PHASE 1C/INDEPTH OF EACH FIVE IDEA/Document_4_TrustLatch_Concept_Dossier.docx,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Engineering_Design_Review.md,Engineering_Design_Review.md,md,31205,46f017501ac3ff9ebd6c1fb1e5ee8c068c22ddb08ae204c5609f2b759090295e,Cross-phase/unclear,Repository-wide/none,Engineering Design Review,Convenience copy of Level 1 — Engineering Design Review,ED-04,,PHASE 3/Engineering_Design_Review.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/MC_Project_PHASE_DOC.md,MC_Project_PHASE_DOC.md,md,11868,c4b6c4a56bf8ba3066c5b426dce5ae4d50da4774478b5074566e9c79812e3ece,Cross-phase/unclear,Multi-concept,Project methodology/phase roadmap,Governance/context (outside numbered technical precedence),ED-13,,MC_Project_PHASE_DOC.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/PROJECT_CONCEPT_CONTEXT.md,PROJECT_CONCEPT_CONTEXT.md,md,6646,f520cb5201e299fb0f9185bd2b79318229b898e5a8ad7822deb9a073e8f6cae4,Cross-phase/unclear,Multi-concept,Supporting project document,Convenience/context only; non-canonical container,ED-19,,PROJECT_CONCEPT_CONTEXT.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Phase2_Memory.md,Phase2_Memory.md,md,7820,973519f45bc075c296d4302b94933288496bd9bc12fae708aac1fb7020158ce8,Phase 2,Multi-concept,Phase memory,Convenience copy of Level 8 — Phase 2 report/memory,ED-10,,PHASE 2/Phase2_Memory.md,High,Yes — convenience copy; do not treat as canonical
COPY PASTE FOLDER/Phase2_Report by CLaude.md,Phase2_Report by CLaude.md,md,44493,783729d0e07e725236db5296dae8504ce782c294b8c61cfab40ea172cfa6943e,Phase 2,Multi-concept,Phase report/supporting deliverable,Convenience copy of Level 8 — Phase 2 report/memory,ED-06,CF-01,PHASE 2/Phase2_Report by CLaude.md,High,Yes — cross-format scope/equivalence review
COPY PASTE FOLDER/Phase3A_MEMORY.md,Phase3A_MEMORY.md,md,8898,acd3b4178143ca918ed4cce43d3d853acc994c0178dc8efdc406fb014e1ec997,Phase 3A,Multi-concept,Phase memory,Convenience copy of Level 7 — Phase 3A report/memory,ED-12,,PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_MEMORY.md,High,Yes — convenience copy; do not treat as canonical
