classification	source	destination	source_sha256	destination_sha256	status	note
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/11_OpenBraille_Patent_Research_ChatGPT_DR.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/01_OpenBraille_Patent_Research_ChatGPT_Deep_Research.md	979eb5d5155c9fe1243f582320f716ca549f267cbc711597dba7287f51b7c257	979eb5d5155c9fe1243f582320f716ca549f267cbc711597dba7287f51b7c257	ALREADY_IDENTICAL	ChatGPT Deep Research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/12_OpenBraille_Patent_Research_Gemini.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/02_OpenBraille_Patent_Research_Gemini.docx	f42e0c020ce6bb38f569bc0757589c5a5410a31b98bb80461355d473afb6434f	f42e0c020ce6bb38f569bc0757589c5a5410a31b98bb80461355d473afb6434f	ALREADY_IDENTICAL	Gemini research lane.
PARTIAL INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/13_OpenBraille_Patent_Research_Perplexity.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/03_OpenBraille_Patent_Research_Perplexity_PARTIAL.docx	83a53fc7eecf97a9cf76cce718298b24d9cf93a150046ae5bc5a4290730bf74b	83a53fc7eecf97a9cf76cce718298b24d9cf93a150046ae5bc5a4290730bf74b	ALREADY_IDENTICAL	Perplexity report is incomplete and must not be treated as having a complete final verdict.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/14_OpenBraille_Patent_Research_Qwen.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/04_OpenBraille_Patent_Research_Qwen.md	79163acf026753e5fe835be66adc8e7d9fc0e0575b09395fd22f227ce5ee5567	79163acf026753e5fe835be66adc8e7d9fc0e0575b09395fd22f227ce5ee5567	ALREADY_IDENTICAL	Qwen research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/15_OpenBraille_Patent_Research_Mistral.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/05_OpenBraille_Patent_Research_Mistral.md	01f4d8b9f146f2c7989000672b47456628966b705dd06350b3683496df522aad	01f4d8b9f146f2c7989000672b47456628966b705dd06350b3683496df522aad	ALREADY_IDENTICAL	Mistral research lane.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/RESEAERCH/16_OpenBraille_Patent_Research_Microsoft_Copilot.docx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/02_Raw_Research/06_OpenBraille_Patent_Research_Microsoft_Copilot.docx	75e34f06275338189e29373c598afdbd60becb8d1a1e562ef7922a009bae77d6	75e34f06275338189e29373c598afdbd60becb8d1a1e562ef7922a009bae77d6	ALREADY_IDENTICAL	Microsoft Copilot research lane.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/OPENBRAILLE/OpenBraille_Patent_Synthesis_ChatGPT_Work_Max.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/03_Patent_Synthesis/01_OpenBraille_Patent_Synthesis_Work_Max.md	d92dbfbbbdbd4c49e9eaac9fab01e0d2a7db6d986c81d33ee65223710dd42eb1	d92dbfbbbdbd4c49e9eaac9fab01e0d2a7db6d986c81d33ee65223710dd42eb1	ALREADY_IDENTICAL	Primary valid OpenBraille synthesis.
VALID FINAL SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/OPENBRAILLE/OpenBraille_Patent_Synthesis_ChatGPT_Standard_High_no_deeprsearch.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/OpenBraille/03_Patent_Synthesis/02_OpenBraille_Patent_Synthesis_Valid_Secondary.md	b9fefadf621f014dc621ef9836ae11b80c05a0227f768c53c11ec1358fc8a09b	b9fefadf621f014dc621ef9836ae11b80c05a0227f768c53c11ec1358fc8a09b	ALREADY_IDENTICAL	Valid secondary OpenBraille synthesis used in later adjudication.
FAILED CONCEPT-SWAPPED SYNTHESIS	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINALISED DECISION/OPENBRAILLE/OpenBraille_Patent_Synthesis_ChatGPT_Deep_Research.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/03_Failed_or_Partial_Research/OpenBraille/FAILED_CONCEPT_SWAP_OpenBraille_Deep_Research_Synthesis.md	d9b3fce5d7133d2457dd18c1092fb5eaab43f827e4c0eb864462beab1fdfc822	d9b3fce5d7133d2457dd18c1092fb5eaab43f827e4c0eb864462beab1fdfc822	ALREADY_IDENTICAL	Preserved for provenance only; not valid decision evidence and not a vote.
INDEPENDENT RESEARCH LANE	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/VibeGuard_Patent_Synthesis_Input_FINAL_20260801_173730/11_VibeGuard_Patent_Research_ChatGPT_DR.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/03_CONCEPT_PORTFOLIO/VibeGuard/02_Raw_Research/01_VibeGuard_Patent_Research_ChatGPT_Deep_Research.md	8614a18e8d7764437315a41b61ed46f4fb3e2dcd6eaa8b12e59a0b57ffdd79a7	8614a18e8d7764437315a41b61ed46f4fb3e2dcd6eaa8b12e59a0b57ffdd79a7	ALREADY_IDENTICAL	ChatGPT Deep Research lane.
