classification	source	destination	source_sha256	destination_sha256	status	note
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.A/Phase1A_Memory.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1A_Opportunity_Discovery/Phase1A_Memory.md	5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213	5a8943e1e556e1db0644cc7b75e2b4c8000b1a9506d673406c9c70cf7bb4a213	COPIED_AND_VERIFIED	Canonical Phase 1A memory.
PHASE SUMMARY	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.A/Phase1A_Summary.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1A_Opportunity_Discovery/Phase1A_Summary.md	c52bed09fdfd1a860471bfc6d56cd41411f730362d12ee0348e07ad0939909c9	c52bed09fdfd1a860471bfc6d56cd41411f730362d12ee0348e07ad0939909c9	COPIED_AND_VERIFIED	Canonical Phase 1A opportunity-discovery summary.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.B/Phase1B_Memory.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B_Opportunity_Analysis/Phase1B_Memory.md	d58c91eead60c5abdb4e38c1e9b87c7449f4b3b68ccd7a23f5d4816fea16ff76	d58c91eead60c5abdb4e38c1e9b87c7449f4b3b68ccd7a23f5d4816fea16ff76	COPIED_AND_VERIFIED	Canonical Phase 1B memory.
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B_Opportunity_Analysis/Phase1B_Opportunity_Analysis.md	e10d76b80c78554ff7e2ea75f3b263bfe82333c54418e7f794d249610f8fe130	e10d76b80c78554ff7e2ea75f3b263bfe82333c54418e7f794d249610f8fe130	COPIED_AND_VERIFIED	Structured Phase 1B opportunity-analysis output.
RENDERED PHASE REPORT	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis_By_Claude.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B_Opportunity_Analysis/Phase1B_Opportunity_Analysis_By_Claude.pdf	8e53b914163d8e2685d9edda7422e4c1ac1a01230e60e3a100a0e7ef514dd52c	8e53b914163d8e2685d9edda7422e4c1ac1a01230e60e3a100a0e7ef514dd52c	COPIED_AND_VERIFIED	Historical rendered report; subordinate to current governance.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1B.5/Phase1B5_Memory.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B5_Portfolio_Optimization/Phase1B5_Memory.md	d200473fd85a3cc910e3532bb2be662e0fcbdeab363fe988a948fd81d129c537	d200473fd85a3cc910e3532bb2be662e0fcbdeab363fe988a948fd81d129c537	COPIED_AND_VERIFIED	Canonical Phase 1B.5 memory.
CANONICAL PHASE OUTPUT	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1B.5/Phase1B5_Opportunity_Portfolio_Optimization.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B5_Portfolio_Optimization/Phase1B5_Opportunity_Portfolio_Optimization.md	305f0f568081ad8a01affc02d252a681f84abde5c23c2a9421fb69369ecc5540	305f0f568081ad8a01affc02d252a681f84abde5c23c2a9421fb69369ecc5540	COPIED_AND_VERIFIED	Structured portfolio-optimization output.
RENDERED PHASE REPORT	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1B.5/Phase1B5_Portfolio_Optimization_By_Claude.pdf	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1B5_Portfolio_Optimization/Phase1B5_Portfolio_Optimization_By_Claude.pdf	25130fe434ba2962de3ca241374d9823acced92b088ec6562a77140b80551809	25130fe434ba2962de3ca241374d9823acced92b088ec6562a77140b80551809	COPIED_AND_VERIFIED	Historical rendered portfolio-optimization report.
PHASE PROCEDURE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/Phase1C.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1C_Concept_Synthesis/Phase1C.md	8e41493ddbc8b8b3c3ad8a00995b6ae3f8a5645351f8086a6b8ded92623853e4	8e41493ddbc8b8b3c3ad8a00995b6ae3f8a5645351f8086a6b8ded92623853e4	COPIED_AND_VERIFIED	Phase 1C concept-synthesis procedure.
PHASE MEMORY	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/Phase1C_Memory.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/02_PHASE_HISTORY/Phase_1/Phase_1C_Concept_Synthesis/Phase1C_Memory.md	e3b320245bc20d4312edc22b62fc9584059111e8fd38442277a3e5544ae019c1	e3b320245bc20d4312edc22b62fc9584059111e8fd38442277a3e5544ae019c1	COPIED_AND_VERIFIED	Canonical Phase 1C memory.
