classification	source	destination	source_sha256	destination_sha256	status	note
COMMON ENGINEERING AUTHORITY	/home/paradoxpete/Documents/PROJECT/PHASE 3/Engineering_Design_Review.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/00_Engineering_Design_Review.md	46f017501ac3ff9ebd6c1fb1e5ee8c068c22ddb08ae204c5609f2b759090295e	46f017501ac3ff9ebd6c1fb1e5ee8c068c22ddb08ae204c5609f2b759090295e	COPIED_AND_VERIFIED	Shared engineering baseline used during comparison and later packages.
COMPARISON PROTOCOL	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/01_Comparison_Protocol.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/01_Comparison_Protocol.md	9711020de0cc5108fb7e4a779e06fdba8e640a2100c098791d1a6b7ead410d7d	9711020de0cc5108fb7e4a779e06fdba8e640a2100c098791d1a6b7ead410d7d	COPIED_AND_VERIFIED	Defines the comparative-evaluation procedure.
SOURCE CONTROL	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/02_Authoritative_Source_Manifest.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/02_Authoritative_Source_Manifest.md	f2d6f77836230780b63ae10353d9bf65f61d43ef2500e0872b5e9a65e57835c6	f2d6f77836230780b63ae10353d9bf65f61d43ef2500e0872b5e9a65e57835c6	COPIED_AND_VERIFIED	Records the source hierarchy used during final down-selection.
VALIDATED COMPARATIVE EVIDENCE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/03_Concept_Evidence_Matrix.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/03_Concept_Evidence_Matrix.md	8f999b878cfc7f863227682f141a278a4dfa4ee7705e49e1d55ef147c27a1975	8f999b878cfc7f863227682f141a278a4dfa4ee7705e49e1d55ef147c27a1975	COPIED_AND_VERIFIED	Common evidence matrix for the compared concepts.
HARD-GATE RECORD	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/04_Hard_Gate_Precheck.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/04_Hard_Gate_Precheck.md	6ee8fb1e9570342b58cc1f4facfdce2c61cc1c71d3959dcbdf0951615c0cc02c	6ee8fb1e9570342b58cc1f4facfdce2c61cc1c71d3959dcbdf0951615c0cc02c	COPIED_AND_VERIFIED	Preliminary hard-gate evaluation.
UNCERTAINTY AND TEST REGISTER	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/05_Uncertainty_and_Test_Register.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/05_Uncertainty_and_Test_Register.md	125c057229524532b115391fbba948023684ad61d0153fb28ac29e6031e8ee3b	125c057229524532b115391fbba948023684ad61d0153fb28ac29e6031e8ee3b	COPIED_AND_VERIFIED	Records unresolved claims, tests and evidence requirements.
PATENT RESEARCH INPUT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/06_Patent_Research_Input_Pack.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/06_Patent_Research_Input_Pack.md	969d6bd97f0a726186d0f9bae405248ed82ef6314e3d5618166a0a1185411428	969d6bd97f0a726186d0f9bae405248ed82ef6314e3d5618166a0a1185411428	COPIED_AND_VERIFIED	Controlled research questions and historical patent leads.
COMPARATIVE WORKSHEET	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/07_Scoring_Worksheet.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/07_Scoring_Worksheet.md	e0a1aeea2e7ba0de3e571531bcca2f51f441bca9e860dbb10fa8d6d22a4f744b	e0a1aeea2e7ba0de3e571531bcca2f51f441bca9e860dbb10fa8d6d22a4f744b	COPIED_AND_VERIFIED	Structured scoring worksheet; not an independent vote.
COMPARATIVE AUDIT	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/FINAL_DOWNSELECTION/HIGH_REASONING_AUDIT.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/01_Common_Evidence_and_Gates/08_High_Reasoning_Audit.md	4243ca6643361946805fcb4f5b3b7feb319ec352149b54664471b2d9cbd9e324	4243ca6643361946805fcb4f5b3b7feb319ec352149b54664471b2d9cbd9e324	COPIED_AND_VERIFIED	Audit of the final down-selection reasoning.
FINAL CROSS-CONCEPT ADJUDICATION	/home/paradoxpete/Documents/PROJECT/Project_mC_Final_Cross-Concept_Patent-Path_Adjudication.md	/home/paradoxpete/Documents/PROJECT_ORGANIZED/04_COMPARATIVE_DECISION/02_Final_Adjudications/01_Project_mC_Final_Adjudication_Work_Max.md	02baa83e691bf88e5221e20ac92e5be94eb3c71280b48c8338a02401bb173c9f	02baa83e691bf88e5221e20ac92e5be94eb3c71280b48c8338a02401bb173c9f	COPIED_AND_VERIFIED	Primary final adjudication; decision context rather than a vote.
