classification	source	audit_sha256	actual_sha256	action	destination	existing_identical_path	status	note
ADMINISTRATIVE_HISTORY_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE3C_NAMING_CHANGE_LOG.md	adda533db7e29f86a39f97c517ad9afd47337b6b5edda11571d57f0895923b23	adda533db7e29f86a39f97c517ad9afd47337b6b5edda11571d57f0895923b23	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_CHANGE_LOG.md		COPIED_AND_VERIFIED	Administrative Phase 3C naming history.
ADMINISTRATIVE_HISTORY_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE3C_NAMING_PROPOSAL.md	9a0a1bfc7a1c3867fa6eea536e7ec288bbec4a0e1289333976d6f025b24fe811	9a0a1bfc7a1c3867fa6eea536e7ec288bbec4a0e1289333976d6f025b24fe811	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_PROPOSAL.md		COPIED_AND_VERIFIED	Administrative Phase 3C naming history.
ADMINISTRATIVE_HISTORY_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE3C_NAMING_VALIDATION_REPORT.md	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	02e3c811b70d3fb0b4f92e784b499093de190dd4c0992987f7da8739bc307353	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Naming_History/PHASE3C_NAMING_VALIDATION_REPORT.md		COPIED_AND_VERIFIED	Administrative Phase 3C naming history.
CONVENIENCE_COPY_REVIEW	/home/paradoxpete/Documents/PROJECT/COPY PASTE FOLDER/MC_Project_PHASE_DOC.md	c4b6c4a56bf8ba3066c5b426dce5ae4d50da4774478b5074566e9c79812e3ece	c4b6c4a56bf8ba3066c5b426dce5ae4d50da4774478b5074566e9c79812e3ece	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/COPY PASTE FOLDER/MC_Project_PHASE_DOC.md		COPIED_AND_VERIFIED	Non-canonical convenience-folder variant preserved for history.
CONVENIENCE_COPY_REVIEW	/home/paradoxpete/Documents/PROJECT/COPY PASTE FOLDER/Project_mC_Decision_Register_v1.0.md	2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3	2ecf77fbbba9966a7769a2e715034f6b9ff7362d7aa51261219ee118085d22d3	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/COPY PASTE FOLDER/Project_mC_Decision_Register_v1.0.md		COPIED_AND_VERIFIED	Non-canonical convenience-folder variant preserved for history.
CONVENIENCE_COPY_REVIEW	/home/paradoxpete/Documents/PROJECT/COPY PASTE FOLDER/README.md	ce43327e164bd6ae2f11d8d68fe7ffa5cbae97cbe5d189f024502a099b21fe7f	ce43327e164bd6ae2f11d8d68fe7ffa5cbae97cbe5d189f024502a099b21fe7f	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/COPY PASTE FOLDER/README.md		COPIED_AND_VERIFIED	Non-canonical convenience-folder variant preserved for history.
CONVENIENCE_COPY_REVIEW	/home/paradoxpete/Documents/PROJECT/every sop and memory/MC_Project_PHASE_DOC.md	e7ebf127dac01b63c87713b14c0bd5cf2d4500e60581cc86f783abe92a525f98	e7ebf127dac01b63c87713b14c0bd5cf2d4500e60581cc86f783abe92a525f98	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/every sop and memory/MC_Project_PHASE_DOC.md		COPIED_AND_VERIFIED	Non-canonical convenience-folder variant preserved for history.
CONVENIENCE_COPY_REVIEW	/home/paradoxpete/Documents/PROJECT/every sop and memory/README.md	36791bf0406c8639b6fe5eae16d01cff27ce82ff48605d335cb65392276ccfd3	36791bf0406c8639b6fe5eae16d01cff27ce82ff48605d335cb65392276ccfd3	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/01_Superseded/Convenience_Folder_Variants/every sop and memory/README.md		COPIED_AND_VERIFIED	Non-canonical convenience-folder variant preserved for history.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.zip	67d556082774dd9223e05d99f6b64eac045d7cc52ae9b60c403bc643a8b15dab	67d556082774dd9223e05d99f6b64eac045d7cc52ae9b60c403bc643a8b15dab	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/PHASE 1/PHASE 1.B/Phase1B_Opportunity_Analysis.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE 2/Phase2_docs.zip	5b4156e64afaf59c1cc8788ae2c02cbebf8e2c003343dd8c56544219f1377fb6	5b4156e64afaf59c1cc8788ae2c02cbebf8e2c003343dd8c56544219f1377fb6	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/PHASE 2/Phase2_docs.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_report_and_memory.zip	9d0593bb50717c290ca9c36d135ffc1aebfb70a48d2b058be4c8b421af44ae21	9d0593bb50717c290ca9c36d135ffc1aebfb70a48d2b058be4c8b421af44ae21	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/PHASE 3/PHASE 3A-Engineering Landscape Discovery/Phase3A_report_and_memory.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_mem_and_report.zip	b4674075c434e818a3579f61f8746dd918ac06e316030e04fa3c9577a36eafb0	b4674075c434e818a3579f61f8746dd918ac06e316030e04fa3c9577a36eafb0	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/PHASE 3/PHASE 3B-Engineering Feasibility Analysis/Phase3B_mem_and_report.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/files.zip	26058ea1e362dbd70abb8ac5fdcdc9177bd2b64ee30a5c22e1d47b4fdb30d251	26058ea1e362dbd70abb8ac5fdcdc9177bd2b64ee30a5c22e1d47b4fdb30d251	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/PHASE 3/PHASE 3C-Comparative Technical Evaluation/TrueMoist/files.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/contexts.zip	29c21e888bc2ac1fb42514db91bff88a6a67bafde26a05ddc6933010ba3233f6	29c21e888bc2ac1fb42514db91bff88a6a67bafde26a05ddc6933010ba3233f6	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/contexts.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
LEGACY_ZIP_ARCHIVE_CANDIDATE	/home/paradoxpete/Documents/PROJECT/every sop and memory/every_sop_and memory_from phase 1A to 1C and whoel phase overview.zip	cdc5acdda096d42498ba49d4bec9451e1cb8cfa5251d295a0412d0e4d9a83668	cdc5acdda096d42498ba49d4bec9451e1cb8cfa5251d295a0412d0e4d9a83668	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/09_ARCHIVE/04_Legacy_Zips/every sop and memory/every_sop_and memory_from phase 1A to 1C and whoel phase overview.zip		COPIED_AND_VERIFIED	Legacy ZIP preserved without treating its contents as canonical.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/Patent Potential of Student Projects.docx	2156803ab9ac9a253fc6e8860c7788d9891af782fcd52e7a9c64249115cf0273	2156803ab9ac9a253fc6e8860c7788d9891af782fcd52e7a9c64249115cf0273	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Reference_Documents/Patent Potential of Student Projects.docx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/10_Fake WiFi access point detection system using ESP32 .pptx	81aa854072ec46025b63c89e39c67daf86211f0d9d46473de23ff508d4df63ef	81aa854072ec46025b63c89e39c67daf86211f0d9d46473de23ff508d4df63ef	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/10_Fake WiFi access point detection system using ESP32 .pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/11_ENVIRONMENTAL TAMPER DETECTION FOR SERVER RACK.pptx	f6e57856034b766b2c73c178f38815c329ac22f37ca6a169c0837d7a5f2fd9c9	f6e57856034b766b2c73c178f38815c329ac22f37ca6a169c0837d7a5f2fd9c9	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/11_ENVIRONMENTAL TAMPER DETECTION FOR SERVER RACK.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/12_STM32 Smart Attendance Register Using RFID.pptx	0b6f29b594547892b7b5203e407d6bf1bf44645fa1ab609e5dd32126263b2ebe	0b6f29b594547892b7b5203e407d6bf1bf44645fa1ab609e5dd32126263b2ebe	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/12_STM32 Smart Attendance Register Using RFID.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/13_Secure Confidential Document Storage Box with__Tamper Detection using Arduino Uno.pptx	578d7445a628d8042af51e50b8817a6577540b9c880025cd5ab091626145d242	578d7445a628d8042af51e50b8817a6577540b9c880025cd5ab091626145d242	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/13_Secure Confidential Document Storage Box with__Tamper Detection using Arduino Uno.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/1_Secure Electronic Voting Machine with Voter Authentication, Encrypted Vote Storage, and Tamper Detection.pptx	9636003a782e9e93a243e8ccbdab78ff6e4a01ab20180d1f30f35fb06fa697f2	9636003a782e9e93a243e8ccbdab78ff6e4a01ab20180d1f30f35fb06fa697f2	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/1_Secure Electronic Voting Machine with Voter Authentication, Encrypted Vote Storage, and Tamper Detection.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/2_Biometric Continuous Authentication System.pptx	d3b4da9c96003d9299af6b8de67679a21e3e93cdeffec58a5051aa488d52a1de	d3b4da9c96003d9299af6b8de67679a21e3e93cdeffec58a5051aa488d52a1de	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/2_Biometric Continuous Authentication System.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/3_Distributed IoT Security System for Covert Tracker Detection .pptx	0f06bbd32a9eec061a6fac86c878fd09b627fe431c6773767cadf3bf2c159f53	0f06bbd32a9eec061a6fac86c878fd09b627fe431c6773767cadf3bf2c159f53	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/3_Distributed IoT Security System for Covert Tracker Detection .pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/4_Smart Examination Hall Mobile Activity Detection and Alert System using STM32.pptx	eaba2dcdd566fde6d23b216cba4d407be2c3314e0a9b16e25267b1bbce6999a5	eaba2dcdd566fde6d23b216cba4d407be2c3314e0a9b16e25267b1bbce6999a5	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/4_Smart Examination Hall Mobile Activity Detection and Alert System using STM32.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/5_Juice Jacking USB using ESP32.pptx	b3f6413167035b5e336925f4658ff1b3b531cfba1b0d87223e0b4eb4d87b9d83	b3f6413167035b5e336925f4658ff1b3b531cfba1b0d87223e0b4eb4d87b9d83	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/5_Juice Jacking USB using ESP32.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/6_Zeroth review - Presentation-2 (1).pptx	4c718c7e8ffb727fd4e0c2076c341fdabaedcc5728ed9c4753e5f0b109f03e4b	4c718c7e8ffb727fd4e0c2076c341fdabaedcc5728ed9c4753e5f0b109f03e4b	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/6_Zeroth review - Presentation-2 (1).pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/6_Zeroth review - Presentation-2.pptx	4c718c7e8ffb727fd4e0c2076c341fdabaedcc5728ed9c4753e5f0b109f03e4b	4c718c7e8ffb727fd4e0c2076c341fdabaedcc5728ed9c4753e5f0b109f03e4b	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/6_Zeroth review - Presentation-2.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/6_Zeroth review - Presentation-2 (1).pptx	PRESENT_ELSEWHERE_NOT_DUPLICATED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/7_ USB ATTACK DETECTION AND AUTO ISOLATION SYSTEM .pptx	a3b9d64d1cd0cb5338c9bdc433290f1af2554226524daa743433e87d1a28a3a2	a3b9d64d1cd0cb5338c9bdc433290f1af2554226524daa743433e87d1a28a3a2	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/7_ USB ATTACK DETECTION AND AUTO ISOLATION SYSTEM .pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/OTHER PEOPLES IDEA/presentations/9_Air Gapped Hardware token for compromise resilent  multi factor authentication.pptx	5c95535ed29b08b67690bdedc672cc4ac252772151653f2c19b262cb60df304e	5c95535ed29b08b67690bdedc672cc4ac252772151653f2c19b262cb60df304e	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Presentations/9_Air Gapped Hardware token for compromise resilent  multi factor authentication.pptx		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/POOJA PROJECT.pdf	70a6446354f634cd7501e883e954bcba8f292a6bb91d406713d30c72b9be977d	70a6446354f634cd7501e883e954bcba8f292a6bb91d406713d30c72b9be977d	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Reference_Documents/POOJA PROJECT.pdf		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/Patent Potential of Student Projects.docx	2156803ab9ac9a253fc6e8860c7788d9891af782fcd52e7a9c64249115cf0273	2156803ab9ac9a253fc6e8860c7788d9891af782fcd52e7a9c64249115cf0273	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Reference_Documents/Patent Potential of Student Projects.docx		ALREADY_IDENTICAL	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Secure_File_Transfer_Authentication_Abstract.pdf	ce5b8e3c904a82066e0718abc0e49c6583c5ec37022cc8d4e59cdefb202c526e	ce5b8e3c904a82066e0718abc0e49c6583c5ec37022cc8d4e59cdefb202c526e	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Reference_Documents/USB_Powered_Secure_File_Transfer_Authentication_Abstract.pdf		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
PEER_OR_CLASS_REFERENCE	/home/paradoxpete/Documents/PROJECT/PHASE 1/PHASE 1C/OTHERS IDEA FORMAT/USB_Powered_Smart_Anti_Theft_System_Abstract.pdf	6d5a03b4afbec01258f767ae31c592653ce6e5da09a29c62b5e8ec4841e5c5b3	6d5a03b4afbec01258f767ae31c592653ce6e5da09a29c62b5e8ec4841e5c5b3	COPY	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/03_Other_Groups/Reference_Documents/USB_Powered_Smart_Anti_Theft_System_Abstract.pdf		COPIED_AND_VERIFIED	Peer/class reference only; not Project mC authority.
