classification	required	source	destination	source_sha256	destination_sha256	status	note
OFFICIAL ZEROTH-REVIEW SUBMISSION	True	/home/paradoxpete/Documents/PROJECT_UPLOAD_PACKS/Project_mC_Teacher_Document_Master_Input/02_Zeroth_Review_OpenBraille_Presentation.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/01_Official_Submission/OpenBraille_Zeroth_Review_OFFICIAL_2026-07-30.pptx	8503780624e86aaabe94e67d90ce565633bea3f66ec018d27fc5d104ec0e5c9e	8503780624e86aaabe94e67d90ce565633bea3f66ec018d27fc5d104ec0e5c9e	COPIED_AND_VERIFIED	Verified 16-slide presentation dated 30 July 2026.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/Zeroth review - Presentation.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/01_Initial_Template_or_Early_Draft.pptx	1b65fdca64a3873c666e7ef777b6c2cbb423676280c762443ca952fdd0e83a99	1b65fdca64a3873c666e7ef777b6c2cbb423676280c762443ca952fdd0e83a99	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/Zeroth-review-Presentation(0.1).pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/02_OpenBraille_Draft_0.1.pptx	5b5c699a582f2a8a338e122f25094f099cf215e7faa61bbf55d7070678d0f1c0	5b5c699a582f2a8a338e122f25094f099cf215e7faa61bbf55d7070678d0f1c0	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/Zeroth-review-Presentation(0.2).pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/03_OpenBraille_Draft_0.2.pptx	c749a1154fbfb70df38e30e65620c0f734d8ac98c23892207dcd3e535e8507d1	c749a1154fbfb70df38e30e65620c0f734d8ac98c23892207dcd3e535e8507d1	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/Zeroth-review-Presentation(0.2).odp	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/04_OpenBraille_Draft_0.2.odp	0900927d4bc12e4358fa213b6d19fd1794b2003181feb54b43689f4c11ea6648	0900927d4bc12e4358fa213b6d19fd1794b2003181feb54b43689f4c11ea6648	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/sreeharis zeroth review presentation.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/05_Sreehari_Working_Draft.pptx	4326d708eb56198773dc6f5f7e4bb49407d51c19823a87700a3e390ebcbf5b2a	4326d708eb56198773dc6f5f7e4bb49407d51c19823a87700a3e390ebcbf5b2a	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/GROUP 8(H).pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/06_Group8_Working_Draft.pptx	3b26d17086f86b420a9fce25d4ac17eea063d206981651325313de99d3156225	3b26d17086f86b420a9fce25d4ac17eea063d206981651325313de99d3156225	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/FINALISED PPT.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/07_PreSubmission_Finalised_Draft_1.pptx	f37809889f970377fccfddcb7bf3e2be98663f8b679c015b3f5441955562b5ea	f37809889f970377fccfddcb7bf3e2be98663f8b679c015b3f5441955562b5ea	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/finalised ppt 2.pptx	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/08_PreSubmission_Finalised_Draft_2.pptx	a58be0d507c57600789074405d9cc48f1cd32094bd9158633a7fa3ed88dd16d7	a58be0d507c57600789074405d9cc48f1cd32094bd9158633a7fa3ed88dd16d7	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
ZEROTH-REVIEW WORKING FILE	True	/home/paradoxpete/Documents/PROJECT/ZEROTH PRESENTATION/BIGGER BLOCK DIAGRAM.png	/home/paradoxpete/Documents/PROJECT_ORGANIZED/05_TEACHER_AND_REVIEWS/02_Zeroth_Review_OpenBraille/02_Drafts_and_Working_Files/09_OpenBraille_Block_Diagram.png	d9203a9b237b35005df2ee3d58f0ea5761186c65b9cf5466843b6af1faaf0d48	d9203a9b237b35005df2ee3d58f0ea5761186c65b9cf5466843b6af1faaf0d48	COPIED_AND_VERIFIED	Historical working material; not the official submitted presentation.
