chapter_id	chapter_title	relative_path	authority_role_for_chapter	selection_purpose	source_map_status	frozen_authority_tier	frozen_manual_treatment	source_map_sha256	candidate_register_sha256	actual_sha256	hash_status
12	Provenance and AI-Use Controls	08_MASTER_MANUAL/01_Source_Index/MASTER_MANUAL_SOURCE_POLICY.md	TIER_1_CONTROL	Defines Master Manual source and authority policy.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_1	CORE_SOURCE_CONTROL	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	c5433b5d33523548bcd92d3c8628eb0eb7c902daaa19d70df377368d4d82cdc4	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/TRANSPORT_AND_PROVENANCE_INDEX.md	TIER_5_PROVENANCE_PRIMARY	Controls the organization and role of transport/provenance records.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	595aa9235231400376724f6732b38c1460b48845c3b93eb55110c114e7d80f06	595aa9235231400376724f6732b38c1460b48845c3b93eb55110c114e7d80f06	595aa9235231400376724f6732b38c1460b48845c3b93eb55110c114e7d80f06	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/01_Governing_Instructions/Project_mC_Final_Adjudication_Instructions_CANONICAL.md	TIER_5_PROVENANCE_PRIMARY	Shows evidence-lane, provenance, exclusion and non-voting controls.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	1a06d628347b4ec533a6ccea8f44b933de1295b29d9f4b407a028947c8b34ddc	1a06d628347b4ec533a6ccea8f44b933de1295b29d9f4b407a028947c8b34ddc	1a06d628347b4ec533a6ccea8f44b933de1295b29d9f4b407a028947c8b34ddc	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/02_Input_Manifests/Final_Adjudication_EXCLUSION_AND_PROVENANCE_REGISTER.md	TIER_5_PROVENANCE_PRIMARY	Controls exclusions, filename crossing and source roles.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	b56ad079dacaf594fc80307d0a1ac4424c2493e11039290fe2a5666dbd4abfef	b56ad079dacaf594fc80307d0a1ac4424c2493e11039290fe2a5666dbd4abfef	b56ad079dacaf594fc80307d0a1ac4424c2493e11039290fe2a5666dbd4abfef	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/01_Governing_Instructions/OpenBraille_Synthesis_Instructions_CANONICAL.md	TIER_5_PROVENANCE_PRIMARY	Representative concept-synthesis governance and source-order control.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	9037c212a5727320911be31060a1f4b0ce590ca8c030b4c97019aa31aab60b67	9037c212a5727320911be31060a1f4b0ce590ca8c030b4c97019aa31aab60b67	9037c212a5727320911be31060a1f4b0ce590ca8c030b4c97019aa31aab60b67	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/01_Governing_Instructions/VibeGuard_Synthesis_Instructions_CANONICAL.md	TIER_5_PROVENANCE_PRIMARY	Representative synthesis control including partial-lane handling.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	49d7d80c90da3913b0b7ce8db0df4f982324bddc16c8c63d69240d53060414db	49d7d80c90da3913b0b7ce8db0df4f982324bddc16c8c63d69240d53060414db	49d7d80c90da3913b0b7ce8db0df4f982324bddc16c8c63d69240d53060414db	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/01_Governing_Instructions/TrueMoist_Synthesis_Instructions_CANONICAL.md	TIER_5_PROVENANCE_PRIMARY	Controls six-lane treatment, partial sources and no-vote rules.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	88d6bfa12504b194fd153f8479ddc021d23551a19f6ed06fd0f20707f0146128	88d6bfa12504b194fd153f8479ddc021d23551a19f6ed06fd0f20707f0146128	88d6bfa12504b194fd153f8479ddc021d23551a19f6ed06fd0f20707f0146128	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/02_Input_Manifests/OpenBraille_Synthesis_INPUT_MANIFEST.md	TIER_5_FILE_CONTROL_EXAMPLE	Representative manifest demonstrating file-control-only status.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	f6553815bea3e272e27e5d166134844abfab337e78dc35a1ac3cdef89424b2c9	f6553815bea3e272e27e5d166134844abfab337e78dc35a1ac3cdef89424b2c9	f6553815bea3e272e27e5d166134844abfab337e78dc35a1ac3cdef89424b2c9	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/02_Input_Manifests/VibeGuard_Synthesis_INPUT_MANIFEST.md	TIER_5_FILE_CONTROL_EXAMPLE	Representative manifest demonstrating exact inventory control.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	b8034e85b2021d171f943c40d643305570d5b3f8452960e0147eeaf6799bb56a	b8034e85b2021d171f943c40d643305570d5b3f8452960e0147eeaf6799bb56a	b8034e85b2021d171f943c40d643305570d5b3f8452960e0147eeaf6799bb56a	FROZEN_HASH_VERIFIED
12	Provenance and AI-Use Controls	06_TRANSPORT_AND_PROVENANCE/02_Input_Manifests/TrueMoist_Synthesis_INPUT_MANIFEST.md	TIER_5_FILE_CONTROL_EXAMPLE	Representative manifest demonstrating multi-lane package identity.	REPRESENTED_IN_FROZEN_SOURCE_MAP	TIER_5	PROVENANCE_ONLY	29a8c80af05acbcb564251db75650dfc556177efa445c092892c98e72da9f9e2	29a8c80af05acbcb564251db75650dfc556177efa445c092892c98e72da9f9e2	29a8c80af05acbcb564251db75650dfc556177efa445c092892c98e72da9f9e2	FROZEN_HASH_VERIFIED
